GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_560: Median total income in 2020 among recipients ($)
4620097.01,CT,0097.01,0.3487,6174,3566,3340,32800
4620097.02,CT,0097.02,0.3882,4133,2300,2102,30000
4620098.00,CT,0098.00,1.0373,5466,2473,2337,40800
4620099.00,CT,0099.00,0.6915,5742,2842,2719,36400
4620100.01,CT,0100.01,0.458,4147,2047,1905,36400
4620100.02,CT,0100.02,0.3555,3442,1618,1484,34000
4620101.01,CT,0101.01,0.3535,4082,2021,1887,32000
4620101.02,CT,0101.02,0.3587,3728,1710,1578,30800
4620102.00,CT,0102.00,0.5898,4254,2184,2044,46000
4620103.00,CT,0103.00,0.3331,2325,1127,1069,51200
4620104.00,CT,0104.00,0.3799,2818,1167,1124,57600
4620105.00,CT,0105.00,0.3033,3425,1703,1562,50400
4620106.00,CT,0106.00,0.2375,2107,979,909,44800
4620107.00,CT,0107.00,0.1553,1539,900,826,38000
4620108.00,CT,0108.00,0.564,3947,1769,1637,48800
4620109.00,CT,0109.00,0.1668,1907,1085,965,36400
4620110.00,CT,0110.00,0.2456,4212,2313,2116,36000
4620111.00,CT,0111.00,0.7497,7142,3416,3079,32800
4620112.01,CT,0112.01,0.6306,5718,2209,2064,30800
4620112.02,CT,0112.02,0.2763,4192,2133,1994,27000
4620113.00,CT,0113.00,0.4953,4987,2324,2139,32800
4620114.00,CT,0114.00,0.2832,2183,988,927,38400
4620115.01,CT,0115.01,0.2189,2080,972,899,42800
4620115.02,CT,0115.02,0.4271,5957,3916,3495,32800
4620116.00,CT,0116.00,0.6414,6765,3402,3087,28800
4620117.00,CT,0117.00,0.2705,4243,1628,1520,30600
4620118.00,CT,0118.00,0.3038,4396,1684,1592,30400
4620119.00,CT,0119.00,0.5754,6142,2562,2389,29400
4620120.01,CT,0120.01,2.6311,7337,3967,3647,36800
4620121.00,CT,0121.00,0.383,2078,723,698,50000
4620122.00,CT,0122.00,0.6683,6517,3323,2988,27200
4620123.00,CT,0123.00,0.4104,6480,3526,3216,29800
4620124.00,CT,0124.00,0.3784,5872,2978,2691,30200
4620125.00,CT,0125.00,0.475,6344,2975,2709,40800
4620126.00,CT,0126.00,0.7455,2280,1151,962,29600
4620127.01,CT,0127.01,0.486,5578,3873,3359,28600
4620127.02,CT,0127.02,1.3204,21,10,10,
4620128.00,CT,0128.00,3.0041,3839,2248,1976,49600
4620129.01,CT,0129.01,0.2844,4249,2977,2426,42400
4620129.02,CT,0129.02,0.3588,3602,2931,2131,30800
4620130.00,CT,0130.00,0.1535,3017,2826,2081,23600
4620131.00,CT,0131.00,0.1046,3201,2683,2102,26400
4620132.00,CT,0132.00,0.2671,5151,3796,3207,30400
